Date,Open,High,Low,Close,Volume,Market Cap
"Oct 29, 2016",690.29,720.40,690.05,714.48,"134,761,000","11,007,600,000"
"Oct 28, 2016",688.00,690.44,684.16,689.65,"81,145,500","10,969,800,000"
"Oct 27, 2016",678.21,688.59,678.04,688.31,"96,105,300","10,812,500,000"
"Oct 26, 2016",657.68,679.73,657.68,678.30,"88,877,100","10,484,000,000"
"Oct 25, 2016",654.00,664.42,653.70,657.59,"90,378,800","10,424,300,000"
"Oct 24, 2016",657.16,657.25,652.60,653.76,"62,218,200","10,473,500,000"
"Oct 23, 2016",657.62,661.13,653.89,657.07,"54,474,600","10,479,700,000"
"Oct 22, 2016",633.14,658.20,632.85,657.29,"78,556,500","10,088,400,000"
"Oct 21, 2016",630.83,634.09,630.69,632.83,"55,951,000","10,050,300,000"
"Oct 20, 2016",630.66,631.92,628.26,630.86,"56,957,300","10,046,700,000"
"Oct 19, 2016",638.13,638.87,628.01,630.52,"69,381,700","10,164,800,000"
"Oct 18, 2016",639.41,640.74,636.00,637.96,"65,546,700","10,184,000,000"
"Oct 17, 2016",641.82,642.33,638.66,639.19,"58,063,600","10,221,300,000"
"Oct 16, 2016",639.08,642.90,638.90,641.63,"40,298,100","10,176,800,000"
"Oct 15, 2016",640.31,642.10,637.39,638.65,"39,035,400","10,195,200,000"
"Oct 14, 2016",637.01,641.28,637.01,640.38,"58,144,600","10,141,600,000"
"Oct 13, 2016",636.03,638.83,635.03,636.79,"61,620,700","10,125,100,000"
"Oct 12, 2016",640.87,641.34,635.97,636.19,"92,370,200","10,201,000,000"
"Oct 11, 2016",619.24,642.08,618.50,641.07,"103,590,000","9,855,650,000"
"Oct 10, 2016",616.82,621.32,616.20,618.99,"67,481,100","9,816,270,000"
"Oct 09, 2016",619.17,619.20,616.61,616.75,"39,243,400","9,852,480,000"
"Oct 08, 2016",617.34,619.85,617.34,619.11,"42,345,900","9,822,100,000"
"Oct 07, 2016",612.61,617.91,611.82,617.12,"64,071,400","9,745,740,000"
"Oct 06, 2016",612.47,613.82,611.47,613.02,"56,812,100","9,742,370,000"
"Oct 05, 2016",610.22,613.81,609.62,612.51,"68,077,500","9,705,320,000"
"Oct 04, 2016",612.05,612.05,609.48,610.20,"49,801,600","9,733,330,000"
"Oct 03, 2016",610.97,612.57,610.46,612.13,"46,798,300","9,714,980,000"
"Oct 02, 2016",613.95,614.00,609.68,610.89,"39,249,800","9,761,330,000"
"Oct 01, 2016",609.93,615.24,609.93,613.98,"56,357,000","9,696,280,000"
"Sep 30, 2016",605.72,609.74,604.14,609.74,"56,122,400","9,628,250,000"
"Sep 29, 2016",605.02,606.82,604.85,605.69,"55,658,600","9,616,160,000"
"Sep 28, 2016",606.24,606.59,604.61,604.73,"48,722,600","9,634,530,000"
"Sep 27, 2016",608.02,608.25,604.11,606.17,"49,422,400","9,661,590,000"
"Sep 26, 2016",600.81,608.14,600.35,608.04,"59,153,800","9,545,830,000"
"Sep 25, 2016",602.75,603.38,599.71,600.83,"33,977,800","9,575,360,000"
"Sep 24, 2016",602.96,604.58,602.04,602.63,"35,359,500","9,577,520,000"
"Sep 23, 2016",596.20,603.21,595.79,602.84,"51,067,000","9,469,130,000"
"Sep 22, 2016",597.28,598.49,596.21,596.30,"67,085,300","9,485,280,000"
"Sep 21, 2016",603.59,603.59,595.88,597.15,"82,776,200","9,584,260,000"
"Sep 20, 2016",609.25,609.52,607.94,608.31,"72,710,900","9,673,140,000"
"Sep 19, 2016",609.87,610.93,608.27,609.23,"54,796,400","9,681,960,000"
"Sep 18, 2016",606.28,610.16,605.86,609.87,"48,679,400","9,623,950,000"
"Sep 17, 2016",607.22,607.86,605.19,605.98,"37,140,300","9,637,600,000"
"Sep 16, 2016",607.25,609.26,606.74,606.97,"64,963,400","9,637,020,000"
"Sep 15, 2016",610.59,611.09,607.15,607.15,"59,464,600","9,688,940,000"
"Sep 14, 2016",608.84,611.95,608.41,610.68,"47,877,700","9,660,080,000"
"Sep 13, 2016",608.02,611.19,606.92,609.24,"86,920,600","9,645,930,000"
"Sep 12, 2016",607.00,608.46,605.41,608.24,"72,812,300","9,628,560,000"
"Sep 11, 2016",623.42,628.82,600.51,606.72,"73,610,800","9,887,780,000"
"Sep 10, 2016",622.93,625.10,622.39,623.51,"45,016,800","9,878,730,000"
"Sep 09, 2016",626.35,626.83,620.26,622.86,"64,550,200","9,931,980,000"
"Sep 08, 2016",614.63,628.77,613.84,626.32,"86,713,000","9,745,120,000"
"Sep 07, 2016",610.57,614.54,608.51,614.54,"75,032,400","9,679,610,000"
"Sep 06, 2016",606.51,610.83,605.09,610.44,"78,529,100","9,614,140,000"
"Sep 05, 2016",608.99,609.05,602.24,606.59,"82,446,800","9,652,490,000"
"Sep 04, 2016",598.59,611.84,596.85,608.63,"97,942,900","9,486,370,000"
"Sep 03, 2016",575.55,599.50,574.06,598.21,"159,014,000","9,120,440,000"
"Sep 02, 2016",572.41,575.64,570.81,575.54,"79,910,800","9,069,550,000"
"Sep 01, 2016",575.55,576.31,571.81,572.30,"76,923,400","9,118,280,000"
"Aug 31, 2016",577.59,577.86,573.64,575.47,"75,840,900","9,149,730,000"
"Aug 30, 2016",574.11,578.36,574.11,577.50,"70,342,400","9,093,530,000"
"Aug 29, 2016",574.07,576.28,573.47,574.11,"110,398,000","9,091,830,000"
"Aug 28, 2016",569.83,574.04,569.74,573.91,"86,301,600","9,023,610,000"
"Aug 27, 2016",579.45,579.85,568.63,569.95,"59,698,300","9,174,990,000"
"Aug 26, 2016",577.75,580.62,576.86,579.65,"48,856,800","9,147,170,000"
"Aug 25, 2016",580.18,580.45,575.17,577.76,"136,130,000","9,184,700,000"
"Aug 24, 2016",583.41,583.59,579.86,580.18,"56,328,200","9,234,800,000"
"Aug 23, 2016",586.77,589.47,581.63,583.41,"85,349,200","9,286,930,000"
"Aug 22, 2016",581.31,588.45,580.59,586.75,"72,844,000","9,199,410,000"
"Aug 21, 2016",581.94,584.16,580.22,581.31,"38,299,400","9,208,210,000"
"Aug 20, 2016",576.08,582.82,575.46,581.70,"45,301,400","9,114,500,000"
"Aug 19, 2016",574.34,578.24,574.18,575.63,"50,631,600","9,085,820,000"
"Aug 18, 2016",573.71,577.79,573.43,574.32,"59,896,600","9,074,760,000"
"Aug 17, 2016",577.76,580.89,571.43,573.22,"54,443,000","9,138,030,000"
"Aug 16, 2016",567.24,581.74,566.72,577.44,"58,405,200","8,970,770,000"
"Aug 15, 2016",570.49,573.58,563.24,567.24,"57,262,300","9,021,180,000"
"Aug 14, 2016",585.59,585.67,564.78,570.47,"60,851,100","9,258,730,000"
"Aug 13, 2016",587.36,589.77,584.98,585.59,"43,563,000","9,285,530,000"
"Aug 12, 2016",588.80,589.91,583.81,587.56,"69,218,000","9,307,250,000"
"Aug 11, 2016",592.12,597.54,589.12,589.12,"74,514,400","9,358,770,000"
"Aug 10, 2016",587.65,599.98,586.37,592.10,"102,905,000","9,286,960,000"
"Aug 09, 2016",591.04,591.09,584.79,587.80,"92,228,100","9,339,660,000"
"Aug 08, 2016",592.74,592.99,588.05,591.05,"61,194,100","9,365,440,000"
"Aug 07, 2016",587.77,597.51,586.82,592.69,"82,398,400","9,285,940,000"
"Aug 06, 2016",575.03,588.40,569.47,587.78,"80,797,300","9,083,510,000"
"Aug 05, 2016",578.28,578.28,569.98,575.04,"66,127,900","9,133,690,000"
"Aug 04, 2016",566.33,579.50,565.78,578.29,"125,292,000","8,943,870,000"
"Aug 03, 2016",548.66,573.36,541.55,566.36,"207,982,000","8,663,670,000"
"Aug 02, 2016",606.40,612.85,531.33,547.47,"330,933,000","9,574,320,000"
"Aug 01, 2016",624.60,626.12,605.88,606.27,"121,887,000","9,860,620,000"
"Jul 31, 2016",655.10,655.28,624.37,624.68,"110,818,000","10,340,900,000"
"Jul 30, 2016",657.01,658.22,654.21,655.05,"38,456,100","10,370,100,000"
"Jul 29, 2016",655.11,657.80,654.79,656.99,"60,703,500","10,338,900,000"
"Jul 28, 2016",654.49,657.60,654.49,655.03,"86,428,400","10,328,100,000"
"Jul 27, 2016",651.63,657.46,648.45,654.35,"147,461,000","10,281,900,000"
"Jul 26, 2016",654.23,656.23,645.88,651.78,"225,135,000","10,321,900,000"
"Jul 25, 2016",661.26,661.83,653.39,654.10,"78,176,500","10,431,900,000"
"Jul 24, 2016",655.41,663.11,652.79,661.28,"118,184,000","10,338,600,000"
"Jul 23, 2016",650.73,656.37,648.52,655.56,"69,532,200","10,263,700,000"
"Jul 22, 2016",664.92,666.58,646.72,650.62,"134,169,000","10,486,600,000"
"Jul 21, 2016",665.23,666.22,660.41,665.01,"60,491,800","10,490,300,000"
"Jul 20, 2016",672.81,672.93,663.36,665.68,"94,636,400","10,608,600,000"
"Jul 19, 2016",672.74,673.28,667.63,672.86,"61,203,300","10,606,500,000"
"Jul 18, 2016",679.81,681.55,668.63,673.11,"69,465,000","10,716,800,000"
"Jul 17, 2016",661.99,682.37,661.99,679.46,"74,407,900","10,434,700,000"
"Jul 16, 2016",663.78,666.46,659.33,660.77,"50,330,200","10,461,700,000"
"Jul 15, 2016",659.17,667.08,659.04,663.25,"81,673,100","10,387,900,000"
"Jul 14, 2016",652.92,662.90,652.92,658.08,"98,511,400","10,288,400,000"
"Jul 13, 2016",664.80,668.70,654.47,654.47,"131,449,000","10,474,500,000"
"Jul 12, 2016",648.28,675.26,646.78,664.55,"138,173,000","10,213,100,000"
"Jul 11, 2016",648.48,659.63,644.98,647.66,"107,910,000","10,215,200,000"
"Jul 10, 2016",650.60,652.29,641.26,649.36,"102,532,000","10,247,300,000"
"Jul 09, 2016",666.38,666.38,633.40,650.96,"180,536,000","10,493,800,000"
"Jul 08, 2016",640.69,666.71,636.47,666.52,"141,970,000","10,086,900,000"
"Jul 07, 2016",678.09,682.43,611.83,640.56,"258,091,000","10,673,400,000"
"Jul 06, 2016",670.42,681.90,670.42,677.33,"134,961,000","10,550,300,000"
"Jul 05, 2016",683.21,683.49,665.07,670.63,"130,476,000","10,749,100,000"
"Jul 04, 2016",658.80,683.66,650.51,683.66,"92,008,400","10,362,700,000"
"Jul 03, 2016",704.97,704.97,649.01,658.66,"129,512,000","11,086,100,000"
"Jul 02, 2016",676.73,703.70,676.40,703.70,"112,354,000","10,639,600,000"
"Jul 01, 2016",672.51,686.15,669.59,676.30,"134,431,000","10,570,600,000"
"Jun 30, 2016",640.59,675.40,636.61,673.34,"138,980,000","10,066,400,000"
"Jun 29, 2016",644.12,644.68,628.28,639.89,"142,456,000","10,119,600,000"
"Jun 28, 2016",658.10,659.25,637.77,647.00,"138,385,000","10,336,800,000"
"Jun 27, 2016",629.35,655.27,620.52,655.27,"122,134,000","9,882,840,000"
"Jun 26, 2016",665.93,665.98,616.93,629.37,"109,225,000","10,454,900,000"
"Jun 25, 2016",665.28,691.73,646.56,665.12,"126,656,000","10,442,000,000"
"Jun 24, 2016",625.58,681.73,625.27,665.30,"224,317,000","9,816,730,000"
"Jun 23, 2016",597.44,629.33,558.14,623.98,"253,462,000","9,373,190,000"
"Jun 22, 2016",665.91,678.67,587.48,596.12,"266,393,000","10,445,300,000"
"Jun 21, 2016",735.88,735.88,639.07,666.65,"309,944,000","11,540,000,000"
"Jun 20, 2016",763.93,764.08,732.73,737.23,"174,511,000","11,976,700,000"
"Jun 19, 2016",756.69,766.62,745.63,763.78,"136,185,000","11,859,800,000"
"Jun 18, 2016",748.76,777.99,733.93,756.23,"252,718,000","11,732,600,000"
"Jun 17, 2016",768.49,775.36,716.56,748.91,"363,321,000","12,038,900,000"
"Jun 16, 2016",696.52,773.72,696.52,766.31,"271,634,000","10,908,900,000"
"Jun 15, 2016",685.68,696.30,672.56,694.47,"99,223,800","10,736,600,000"
"Jun 14, 2016",704.50,704.50,662.80,685.56,"186,694,000","11,028,900,000"
"Jun 13, 2016",671.65,716.00,664.49,704.38,"243,295,000","10,511,900,000"
"Jun 12, 2016",609.68,684.84,607.04,672.78,"277,085,000","9,539,850,000"
"Jun 11, 2016",578.67,607.12,578.67,606.73,"82,357,000","9,052,360,000"
"Jun 10, 2016",575.84,579.13,573.33,577.47,"66,991,900","9,005,920,000"
"Jun 09, 2016",582.20,582.20,570.95,574.63,"71,301,000","9,103,080,000"
"Jun 08, 2016",577.17,582.84,573.13,581.64,"80,265,800","9,022,250,000"
"Jun 07, 2016",585.45,590.26,567.51,576.60,"107,770,000","9,149,580,000"
"Jun 06, 2016",574.60,586.47,574.60,585.54,"72,138,900","8,977,700,000"
"Jun 05, 2016",573.31,582.81,569.18,574.98,"68,874,100","8,955,060,000"
"Jun 04, 2016",569.71,590.13,564.24,572.73,"94,925,300","8,897,080,000"
"Jun 03, 2016",537.68,574.64,536.92,569.19,"122,020,000","8,395,070,000"
"Jun 02, 2016",536.51,540.35,533.08,537.97,"60,378,200","8,375,000,000"
"Jun 01, 2016",531.11,543.08,525.64,536.92,"86,061,800","8,288,680,000"
"May 31, 2016",534.19,546.62,520.66,531.39,"138,450,000","8,335,100,000"
"May 30, 2016",528.47,544.35,522.96,533.86,"87,958,700","8,243,960,000"
"May 29, 2016",527.48,553.96,512.18,526.23,"148,737,000","8,226,500,000"
"May 28, 2016",473.03,533.47,472.70,530.04,"181,199,000","7,375,780,000"
"May 27, 2016",453.52,478.15,453.52,473.46,"164,781,000","7,070,010,000"
"May 26, 2016",449.67,453.64,447.90,453.38,"65,203,800","7,008,500,000"
"May 25, 2016",446.06,450.30,446.06,449.60,"65,231,000","6,950,690,000"
"May 24, 2016",444.29,447.10,443.93,445.98,"65,783,100","6,921,460,000"
"May 23, 2016",439.35,444.35,438.82,444.15,"50,582,500","6,842,470,000"
"May 22, 2016",443.22,443.43,439.04,439.32,"39,657,600","6,900,700,000"
"May 21, 2016",442.97,443.78,441.71,443.19,"42,762,300","6,895,230,000"
"May 20, 2016",437.79,444.05,437.39,442.68,"81,987,900","6,813,080,000"
"May 19, 2016",454.52,454.63,438.71,438.71,"96,027,400","7,072,090,000"
"May 18, 2016",453.69,456.00,453.30,454.62,"86,850,100","7,057,390,000"
"May 17, 2016",454.01,455.07,453.61,453.78,"64,100,300","7,060,730,000"
"May 16, 2016",457.59,458.20,452.94,454.16,"59,171,500","7,114,740,000"
"May 15, 2016",455.76,458.69,455.46,457.57,"28,514,000","7,084,760,000"
"May 14, 2016",455.82,456.84,454.79,455.67,"37,209,000","7,084,100,000"
"May 13, 2016",454.85,457.06,453.45,455.67,"60,845,000","7,067,270,000"
"May 12, 2016",452.45,454.95,449.25,454.77,"59,849,300","7,028,330,000"
"May 11, 2016",450.86,454.58,450.86,452.73,"50,605,200","7,002,230,000"
"May 10, 2016",460.52,461.93,448.95,450.89,"58,956,100","7,150,370,000"
"May 09, 2016",458.21,462.48,456.53,460.48,"55,493,100","7,112,510,000"
"May 08, 2016",458.43,459.42,455.98,458.55,"40,315,000","7,114,060,000"
"May 07, 2016",459.64,460.68,457.32,458.54,"38,364,500","7,131,120,000"
"May 06, 2016",447.94,461.38,447.07,459.60,"72,796,800","6,947,800,000"
"May 05, 2016",446.71,448.51,445.88,447.98,"50,440,800","6,926,990,000"
"May 04, 2016",450.18,450.38,445.63,446.72,"50,407,300","6,978,950,000"
"May 03, 2016",444.73,451.10,442.62,450.30,"59,366,400","6,892,690,000"
"May 02, 2016",451.93,452.44,441.78,444.67,"92,127,000","7,002,610,000"
"May 01, 2016",448.48,452.48,447.93,451.88,"40,660,100","6,947,430,000"
"Apr 30, 2016",455.18,455.59,447.70,448.32,"69,322,600","7,049,460,000"
"Apr 29, 2016",449.41,455.38,446.02,455.10,"49,258,500","6,958,330,000"
"Apr 28, 2016",445.04,449.55,436.65,449.01,"74,064,700","6,889,170,000"
"Apr 27, 2016",466.26,467.08,444.13,444.69,"93,564,900","7,216,190,000"
"Apr 26, 2016",461.65,467.96,461.62,466.09,"78,971,900","7,143,060,000"
"Apr 25, 2016",459.12,466.62,453.59,461.43,"87,091,800","7,102,490,000"
"Apr 24, 2016",450.56,460.15,448.93,458.56,"68,198,400","6,968,570,000"
"Apr 23, 2016",445.86,450.28,444.33,450.28,"50,485,400","6,894,280,000"
"Apr 22, 2016",449.69,449.81,444.15,445.74,"58,804,400","6,951,860,000"
"Apr 21, 2016",441.42,450.55,440.95,449.43,"68,204,700","6,822,320,000"
"Apr 20, 2016",435.32,443.05,434.41,441.39,"72,890,100","6,726,370,000"
"Apr 19, 2016",428.70,436.02,428.10,435.51,"52,810,500","6,622,450,000"
"Apr 18, 2016",427.61,429.27,427.09,428.59,"55,670,900","6,604,150,000"
"Apr 17, 2016",430.64,431.37,426.08,427.40,"52,125,900","6,649,170,000"
"Apr 16, 2016",429.57,432.63,428.98,430.57,"39,392,800","6,631,310,000"
"Apr 15, 2016",424.43,429.93,424.43,429.71,"54,801,500","6,550,350,000"
"Apr 14, 2016",423.94,425.37,423.01,424.28,"45,281,000","6,541,030,000"
"Apr 13, 2016",425.63,426.66,422.92,423.73,"69,060,400","6,565,470,000"
"Apr 12, 2016",422.84,427.28,422.84,425.19,"70,728,800","6,520,870,000"
"Apr 11, 2016",421.87,422.74,420.53,422.48,"50,747,500","6,504,290,000"
"Apr 10, 2016",419.59,422.44,419.26,421.56,"73,478,600","6,467,330,000"
"Apr 09, 2016",420.81,420.89,416.51,419.41,"49,792,700","6,484,410,000"
"Apr 08, 2016",422.91,425.36,419.63,420.35,"63,454,700","6,515,190,000"
"Apr 07, 2016",423.62,423.66,420.52,422.75,"57,858,600","6,524,680,000"
"Apr 06, 2016",424.28,424.53,422.73,423.41,"59,091,000","6,533,260,000"
"Apr 05, 2016",421.02,424.26,420.61,424.03,"60,718,000","6,481,350,000"
"Apr 04, 2016",421.30,422.34,419.60,421.44,"50,634,300","6,483,910,000"
"Apr 03, 2016",421.17,421.58,419.70,420.90,"38,053,700","6,480,470,000"
"Apr 02, 2016",418.42,422.08,418.42,420.87,"45,681,200","6,436,700,000"
"Apr 01, 2016",416.76,418.17,415.83,417.96,"51,235,700","6,409,540,000"
"Mar 31, 2016",415.26,418.37,415.26,416.73,"60,215,200","6,385,140,000"
"Mar 30, 2016",416.83,416.83,412.50,414.82,"66,034,100","6,407,840,000"
"Mar 29, 2016",424.30,426.20,412.68,416.52,"75,411,500","6,521,010,000"
"Mar 28, 2016",426.55,426.86,423.29,424.23,"68,522,800","6,553,700,000"
"Mar 27, 2016",418.14,428.80,417.71,426.76,"71,229,400","6,423,040,000"
"Mar 26, 2016",417.37,418.99,416.26,417.94,"44,650,400","6,409,500,000"
"Mar 25, 2016",416.51,418.08,415.56,417.18,"52,560,000","6,394,850,000"
"Mar 24, 2016",418.42,418.68,415.49,416.39,"68,346,700","6,422,730,000"
"Mar 23, 2016",418.16,419.27,417.36,418.04,"61,444,200","6,417,130,000"
"Mar 22, 2016",413.13,418.38,412.53,418.09,"66,813,300","6,338,430,000"
"Mar 21, 2016",413.42,413.42,410.38,413.31,"61,655,400","6,341,380,000"
"Mar 20, 2016",410.40,414.63,410.40,413.75,"45,947,900","6,293,610,000"
"Mar 19, 2016",409.26,410.98,407.23,410.44,"58,423,000","6,274,790,000"
"Mar 18, 2016",420.55,420.55,406.14,409.55,"104,940,000","6,446,330,000"
"Mar 17, 2016",417.89,421.00,417.89,420.62,"83,528,600","6,404,130,000"
"Mar 16, 2016",416.89,417.69,415.91,417.01,"65,185,800","6,387,190,000"
"Mar 15, 2016",416.39,418.13,414.99,416.83,"66,781,700","6,377,870,000"
"Mar 14, 2016",414.20,416.68,414.20,416.44,"95,259,400","6,342,780,000"
"Mar 13, 2016",411.65,416.60,411.64,414.06,"74,322,800","6,302,330,000"
"Mar 12, 2016",421.61,421.80,410.09,411.62,"92,712,900","6,453,260,000"
"Mar 11, 2016",417.24,423.93,417.01,421.69,"73,969,700","6,384,740,000"
"Mar 10, 2016",414.74,417.51,413.25,417.13,"81,022,900","6,344,960,000"
"Mar 09, 2016",413.89,416.03,411.61,414.86,"70,012,300","6,330,230,000"
"Mar 08, 2016",414.46,416.24,411.09,413.97,"70,311,700","6,337,370,000"
"Mar 07, 2016",407.76,415.92,406.31,414.32,"85,762,400","6,233,430,000"
"Mar 06, 2016",400.52,411.91,395.78,407.71,"91,212,500","6,121,400,000"
"Mar 05, 2016",410.78,411.26,394.04,400.57,"135,385,000","6,276,610,000"
"Mar 04, 2016",421.84,425.18,410.94,410.94,"90,856,100","6,443,890,000"
"Mar 03, 2016",423.91,425.37,419.41,421.65,"100,484,000","6,474,150,000"
"Mar 02, 2016",435.13,435.92,423.99,423.99,"74,955,300","6,643,810,000"
"Mar 01, 2016",437.92,439.65,432.32,435.12,"74,895,800","6,684,800,000"
"Feb 29, 2016",433.44,441.51,431.69,437.70,"60,694,700","6,614,980,000"
"Feb 28, 2016",432.57,435.68,423.82,433.50,"53,033,400","6,600,310,000"
"Feb 27, 2016",432.84,434.23,428.10,432.52,"41,893,600","6,602,810,000"
"Feb 26, 2016",424.63,432.15,421.62,432.15,"61,486,000","6,476,080,000"
"Feb 25, 2016",425.04,427.72,420.42,424.54,"70,798,000","6,480,650,000"
"Feb 24, 2016",420.96,425.55,413.91,424.95,"67,743,700","6,417,190,000"
"Feb 23, 2016",438.25,439.86,417.82,420.74,"85,244,900","6,679,400,000"
"Feb 22, 2016",438.99,439.05,432.92,437.75,"85,385,200","6,689,200,000"
"Feb 21, 2016",437.77,448.05,429.08,438.80,"89,820,700","6,669,260,000"
"Feb 20, 2016",421.60,441.98,421.60,437.16,"93,992,100","6,421,310,000"
"Feb 19, 2016",422.73,423.10,417.60,420.79,"55,711,300","6,436,980,000"
"Feb 18, 2016",416.57,426.00,415.64,422.37,"76,752,600","6,341,430,000"
"Feb 17, 2016",407.66,421.17,406.78,416.32,"83,193,600","6,204,150,000"
"Feb 16, 2016",401.43,408.94,401.43,407.49,"73,093,100","6,108,040,000"
"Feb 15, 2016",407.57,410.38,397.75,400.19,"74,070,500","6,199,850,000"
"Feb 14, 2016",392.93,407.23,392.93,407.23,"74,469,800","5,975,580,000"
"Feb 13, 2016",384.64,391.86,384.64,391.86,"61,911,700","5,847,990,000"
"Feb 12, 2016",379.69,384.95,379.60,384.26,"67,042,800","5,771,040,000"
"Feb 11, 2016",382.11,383.13,376.40,379.65,"74,375,600","5,806,110,000"
"Feb 10, 2016",376.15,385.48,375.78,381.65,"85,130,900","5,713,880,000"
"Feb 09, 2016",373.42,377.25,372.90,376.03,"55,318,500","5,670,880,000"
"Feb 08, 2016",376.76,379.88,373.33,373.45,"47,671,100","5,720,100,000"
"Feb 07, 2016",376.51,380.87,374.90,376.62,"37,076,300","5,714,760,000"
"Feb 06, 2016",386.59,386.63,372.39,376.52,"49,249,300","5,865,740,000"
"Feb 05, 2016",388.90,391.09,385.57,386.55,"43,825,000","5,898,960,000"
"Feb 04, 2016",370.17,391.61,369.99,389.59,"69,285,500","5,613,380,000"
"Feb 03, 2016",374.65,374.95,368.05,369.95,"45,933,400","5,679,530,000"
"Feb 02, 2016",372.92,375.88,372.92,374.45,"40,378,700","5,651,690,000"
"Feb 01, 2016",369.35,378.07,367.96,373.06,"51,656,700","5,596,090,000"
"Jan 31, 2016",378.29,380.35,367.83,368.77,"37,894,300","5,729,870,000"
"Jan 30, 2016",378.87,380.92,376.49,378.25,"30,284,400","5,736,760,000"
"Jan 29, 2016",380.11,384.38,365.45,379.47,"86,125,300","5,753,970,000"
"Jan 28, 2016",395.15,395.50,379.74,380.29,"59,247,900","5,980,180,000"
"Jan 27, 2016",392.44,396.84,391.78,394.97,"47,424,400","5,937,780,000"
"Jan 26, 2016",392.00,397.77,390.57,392.15,"58,147,000","5,929,520,000"
"Jan 25, 2016",402.32,402.32,388.55,391.73,"59,062,400","6,083,900,000"
"Jan 24, 2016",388.10,405.49,387.51,402.97,"54,824,800","5,867,300,000"
"Jan 23, 2016",382.43,394.54,381.98,387.49,"56,247,400","5,779,890,000"
"Jan 22, 2016",409.75,410.41,375.28,382.49,"91,546,600","6,190,940,000"
"Jan 21, 2016",419.63,422.88,406.30,410.26,"68,338,000","6,338,800,000"
"Jan 20, 2016",379.74,425.27,376.60,420.23,"121,720,000","5,734,760,000"
"Jan 19, 2016",387.03,387.73,378.97,380.15,"46,819,800","5,843,510,000"
"Jan 18, 2016",381.73,388.10,376.67,387.17,"54,403,900","5,761,940,000"
"Jan 17, 2016",387.15,390.96,380.09,382.30,"45,319,600","5,842,270,000"
"Jan 16, 2016",365.07,390.56,354.91,387.54,"120,352,000","5,507,790,000"
"Jan 15, 2016",430.25,430.25,364.33,364.33,"153,351,000","6,489,870,000"
"Jan 14, 2016",432.29,433.32,427.85,430.31,"43,945,500","6,519,110,000"
"Jan 13, 2016",434.67,435.19,424.44,432.37,"173,888,000","6,553,350,000"
"Jan 12, 2016",448.18,448.18,435.69,435.69,"115,607,000","6,755,220,000"
"Jan 11, 2016",448.70,450.66,443.86,448.43,"40,450,000","6,761,090,000"
"Jan 10, 2016",448.24,448.31,440.35,447.99,"35,995,900","6,752,210,000"
"Jan 09, 2016",453.38,454.64,446.89,447.61,"32,278,000","6,828,000,000"
"Jan 08, 2016",457.54,462.93,447.94,453.23,"56,993,000","6,888,600,000"
"Jan 07, 2016",430.01,458.77,429.08,458.05,"87,562,200","6,472,580,000"
"Jan 06, 2016",431.86,431.86,426.34,429.11,"34,042,500","6,498,830,000"
"Jan 05, 2016",433.07,434.18,429.68,431.96,"34,522,600","6,515,380,000"
"Jan 04, 2016",430.06,434.52,429.08,433.09,"38,477,500","6,468,180,000"
"Jan 03, 2016",433.58,433.74,424.71,430.01,"39,633,800","6,519,500,000"
"Jan 02, 2016",434.62,436.06,431.87,433.44,"30,096,600","6,533,630,000"
"Jan 01, 2016",430.72,436.25,427.51,434.33,"36,278,900","6,473,530,000"
"Dec 31, 2015",425.88,432.92,418.74,430.57,"45,996,600","6,399,190,000"
"Dec 30, 2015",433.30,434.39,422.08,426.62,"46,889,400","6,508,960,000"
"Dec 29, 2015",422.10,432.98,420.63,432.98,"51,596,500","6,339,010,000"
"Dec 28, 2015",423.34,429.77,418.48,422.28,"49,638,600","6,356,100,000"
"Dec 27, 2015",416.51,424.01,408.88,422.82,"53,591,200","6,251,440,000"
"Dec 26, 2015",455.76,457.49,405.76,417.27,"116,166,000","6,838,480,000"
"Dec 25, 2015",454.86,458.31,452.07,455.65,"39,078,500","6,823,120,000"
"Dec 24, 2015",443.09,458.46,443.08,454.99,"57,157,200","6,645,120,000"
"Dec 23, 2015",436.72,444.53,436.62,442.40,"47,161,400","6,547,850,000"
"Dec 22, 2015",437.44,443.69,435.52,436.57,"50,840,400","6,556,960,000"
"Dec 21, 2015",442.84,444.73,427.31,438.64,"77,639,700","6,636,280,000"
"Dec 20, 2015",462.23,462.64,434.34,442.69,"75,409,400","6,925,030,000"
"Dec 19, 2015",463.55,465.58,456.76,462.32,"47,892,700","6,942,950,000"
"Dec 18, 2015",455.85,465.18,454.94,463.62,"60,220,100","6,825,640,000"
"Dec 17, 2015",454.78,457.86,448.86,456.08,"47,978,400","6,807,850,000"
"Dec 16, 2015",465.21,465.21,443.85,454.93,"107,944,000","6,962,090,000"
"Dec 15, 2015",443.88,465.32,443.88,465.32,"83,121,100","6,640,850,000"
"Dec 14, 2015",433.27,447.14,430.46,444.18,"130,496,000","6,480,070,000"
"Dec 13, 2015",431.66,441.68,426.27,433.75,"55,050,600","6,454,430,000"
"Dec 12, 2015",452.33,469.10,410.74,435.00,"131,969,000","6,761,730,000"
"Dec 11, 2015",415.28,451.94,415.28,451.94,"110,944,000","6,206,150,000"
"Dec 10, 2015",417.99,419.51,411.55,415.48,"52,138,900","6,244,360,000"
"Dec 09, 2015",414.44,423.12,406.29,417.56,"90,917,200","6,189,620,000"
